"","X","doe","infer","idx","level","common","excess","miss","sim","succ","proj"
"13182",13181,"onehot_0","logistic",10,"tstmt",19,1,13,0.575757575757576,"True","mbe"
"13183",13182,"onehot_0","logistic",11,"wline",17,3,22,0.404761904761905,"True","mbe"
"13184",13183,"onehot_0","logistic",11,"tline",20,8,19,0.425531914893617,"True","mbe"
"13185",13184,"onehot_0","logistic",11,"tstmt",19,1,13,0.575757575757576,"True","mbe"
"13186",13185,"onehot_0","logistic",12,"wline",34,4,8,0.739130434782609,"True","mbe"
"13187",13186,"onehot_0","logistic",12,"tline",40,0,2,0.952380952380952,"True","mbe"
"13188",13187,"onehot_0","logistic",12,"tstmt",33,0,1,0.970588235294118,"True","mbe"
"13189",13188,"onehot_0","logistic",13,"wline",36,2,6,0.818181818181818,"True","mbe"
"13190",13189,"onehot_0","logistic",13,"tline",37,3,5,0.822222222222222,"True","mbe"
"13191",13190,"onehot_0","logistic",13,"tstmt",32,2,2,0.888888888888889,"True","mbe"
"13192",13191,"onehot_0","logistic",14,"wline",34,2,8,0.772727272727273,"True","mbe"
"13193",13192,"onehot_0","logistic",14,"tline",35,3,7,0.777777777777778,"True","mbe"
"13194",13193,"onehot_0","logistic",14,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13195",13194,"onehot_0","logistic",15,"wline",34,2,8,0.772727272727273,"True","mbe"
"13196",13195,"onehot_0","logistic",15,"tline",35,3,7,0.777777777777778,"True","mbe"
"13197",13196,"onehot_0","logistic",15,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13198",13197,"onehot_0","logistic",16,"wline",17,3,22,0.404761904761905,"True","mbe"
"13199",13198,"onehot_0","logistic",16,"tline",20,8,19,0.425531914893617,"True","mbe"
"13200",13199,"onehot_0","logistic",16,"tstmt",19,1,13,0.575757575757576,"True","mbe"
"13201",13200,"onehot_0","simple_bayes",1,"wline",7,0,18,0.28,"True","mbe"
"13202",13201,"onehot_0","simple_bayes",1,"tline",7,0,18,0.28,"True","mbe"
